interval_minutes,symbol,z_window,series_kind,series_name,n_obs,n_unique,mean,std,adf_stat,adf_pvalue,adf_lags,kpss_stat,kpss_pvalue,kpss_lags,pp_stat,pp_pvalue,pp_lags,test_error,adf_reject_unit_root_5pct,kpss_reject_stationarity_5pct,kpss_not_reject_stationarity_5pct,both_stationary_5pct,stationarity_class
240,ETHUSDT,48,target_log_return,target_log_ret_horizon_5,5625,5623,-0.00025267410146043157,0.0323904863705743,-12.03121521989177,2.871192747209606e-22,32,0.46708721744728454,0.049079455529890875,27,-20.804807406040503,0.0,33,,True,True,False,False,conflict_ADF_stationary_KPSS_nonstationary
240,ETHUSDT,48,target_log_return,target_log_ret_horizon_10,5625,5625,-0.00047257318283629564,0.04571983909334383,-11.014889342330124,6.192298799941616e-20,33,0.46686040601647283,0.0491305391854791,39,-15.223789289624099,5.439224878780679e-28,33,,True,True,False,False,conflict_ADF_stationary_KPSS_nonstationary
240,ETHUSDT,48,target_log_return,target_log_ret_horizon_24,5625,5625,-0.000939012103968744,0.07263380213497272,-9.687485687876313,1.1600869126711685e-16,29,0.48839515236032877,0.04428037109001605,42,-11.294977182911726,1.350689817377898e-20,33,,True,True,False,False,conflict_ADF_stationary_KPSS_nonstationary
240,SOLUSDT,48,price_level,close,5649,4024,66.53976101964949,54.410441766172475,-1.8239411533047958,0.3686420131460211,25,2.909777553846187,0.01,44,-2.580155112476098,0.09716855785682404,33,,False,True,False,False,nonstationary_by_ADF_and_KPSS
240,SOLUSDT,48,price_level,log_close,5649,4024,3.850308026750256,0.844912142374315,-1.35360318505,0.604306341633627,18,2.978658628095807,0.01,44,-1.4722145117774534,0.5472089278824739,33,,False,True,False,False,nonstationary_by_ADF_and_KPSS
240,SOLUSDT,48,final_feature,dist_ema_9_z,5625,5615,0.0011420469460454255,1.1711552294896723,-20.19816182031915,0.0,6,0.042105977167603996,0.1,36,-26.34770710058005,0.0,33,,True,False,True,True,stationary_by_ADF_and_KPSS
240,SOLUSDT,48,final_feature,ema_slope_9_z,5625,5624,0.008054361812655609,1.2464123648291243,-15.84079252635245,9.698009698567739e-29,31,0.03233853637289137,0.1,39,-10.770071269189039,2.396839736374952e-19,33,,True,False,True,True,stationary_by_ADF_and_KPSS
240,SOLUSDT,48,final_feature,dist_ema_21_z,5625,5617,0.008093571722524015,1.271106537761483,-15.106472750591864,7.806209039805482e-28,24,0.020741597675102877,0.1,40,-19.138700246436237,0.0,33,,True,False,True,True,stationary_by_ADF_and_KPSS
240,SOLUSDT,48,final_feature,ema_slope_21_z,5625,5622,0.01606388867667675,1.3464649570445848,-14.629798909572495,3.767918938036426e-27,32,0.01538123528913657,0.1,41,-10.560070123519534,7.769522531567557e-19,33,,True,False,True,True,stationary_by_ADF_and_KPSS
240,SOLUSDT,48,final_feature,dist_ema_50_z,5625,5617,0.009703939913462611,1.374926315863182,-13.879657565788456,6.244916705974057e-26,6,0.01587968104585341,0.1,41,-15.669521326225624,1.5188226200953387e-28,33,,True,False,True,True,stationary_by_ADF_and_KPSS
240,SOLUSDT,48,final_feature,ema_slope_50_z,5625,5621,0.011718444908497322,1.4515173347535903,-13.61529085579638,1.8400720816118067e-25,31,0.020796341217323152,0.1,42,-10.180444750012956,6.716778849998233e-18,33,,True,False,True,True,stationary_by_ADF_and_KPSS
240,SOLUSDT,48,final_feature,dist_ema_100_z,5625,5616,0.009644932638852396,1.4421408326428953,-12.720618017061836,9.845648853282823e-24,6,0.04466160358338291,0.1,42,-14.119638257555216,2.4377453517542146e-26,33,,True,False,True,True,stationary_by_ADF_and_KPSS
240,SOLUSDT,48,final_feature,ema_slope_100_z,5625,5623,0.00953281667139585,1.5207102365224436,-11.548984145959118,3.484665304986629e-21,32,0.054550114985138065,0.1,42,-9.671014870131481,1.2769033890647406e-16,33,,True,False,True,True,stationary_by_ADF_and_KPSS
240,SOLUSDT,48,final_feature,dist_ema_200_z,5625,5618,-5.918352393268707e-05,1.4815399807496994,-11.579922936631558,2.9598890425909587e-21,7,0.06918683733512435,0.1,42,-13.189268648943527,1.152988940872881e-24,33,,True,False,True,True,stationary_by_ADF_and_KPSS
240,SOLUSDT,48,final_feature,ema_slope_200_z,5625,5623,7.026181572925655e-05,1.5592321633167283,-10.550955518767413,8.178812336105809e-19,32,0.07781509806553995,0.1,42,-9.269771093551105,1.3365489132751051e-15,33,,True,False,True,True,stationary_by_ADF_and_KPSS
240,SOLUSDT,48,final_feature,ema_spread_9_21_z,5625,5623,0.006007909498899335,1.40482801140193,-14.368493951090645,9.582257725947843e-27,31,0.01569330145291901,0.1,42,-10.546077773949058,8.4067138964192525e-19,33,,True,False,True,True,stationary_by_ADF_and_KPSS
240,SOLUSDT,48,final_feature,ema_spread_21_50_z,5625,5622,-0.02019407862436117,1.5961267684490963,-13.03782557161647,2.2737580572745992e-24,16,0.030954976713242287,0.1,43,-9.836628302111354,4.8759177437219136e-17,33,,True,False,True,True,stationary_by_ADF_and_KPSS
240,SOLUSDT,48,final_feature,ema_spread_50_100_z,5625,5623,-0.025328832669673708,1.6993355931947647,-10.475970634162978,1.2488224797524838e-18,10,0.05099817404800255,0.1,43,-8.63926214077677,5.4823903126314823e-14,33,,True,False,True,True,stationary_by_ADF_and_KPSS
240,SOLUSDT,48,final_feature,ema_spread_100_200_z,5625,5625,-0.10348732081545986,1.7552918885802453,-8.497638037722131,1.2631929231293258e-13,15,0.09763151226785678,0.1,44,-7.322814515847641,1.1819571055140238e-10,33,,True,False,True,True,stationary_by_ADF_and_KPSS
