z_window,feature,stability_count,median_union_rank,mean_union_rank,min_union_rank,median_best_rank,median_mean_rank,median_best_hie_norm,mean_best_hie_norm,median_best_p_value,median_regime_coverage_topk,n_entry_source,n_exit_source,n_both_tie_source,samples_seen,full_train_union_rank,full_train_best_rank,full_train_best_hie_norm,full_train_best_p_value,full_train_regime_coverage_topk,full_train_union_rank_filled,full_train_best_rank_filled,full_train_best_hie_norm_filled,full_train_regime_coverage_topk_filled,stable_hie_rank_within_z,is_stable_ge2,stability_rate,stability_top_k
24,price_pos_in_range_168_norm,1,1.0,1.0,1,1.0,6.0,0.026298265904396656,0.026298265904396656,0.0,2.0,0,1,0,mid_train,,,,,,10000.0,10000.0,-inf,0.0,11,False,0.3333333333333333,14
24,ADX_72_scaled,1,1.0,1.0,1,1.0,1.0,0.026134276242282484,0.026134276242282484,0.0,2.0,0,0,1,early_train,9.0,6.0,0.0068436052169330575,0.0,2.0,9.0,6.0,0.0068436052169330575,2.0,12,False,0.3333333333333333,14
24,dist_to_high_72_sqrt_z,1,2.0,2.0,2,1.0,3.5,0.02072485150603165,0.02072485150603165,0.0,2.0,1,0,0,mid_train,8.0,5.0,0.005618882962745708,0.0,1.0,8.0,5.0,0.005618882962745708,1.0,13,False,0.3333333333333333,14
24,MOM_pct_72_z,1,2.0,2.0,2,2.0,2.0,0.04497344803440867,0.04497344803440867,0.0,2.0,0,0,1,late_train,12.0,8.0,0.006521774318381746,0.0,2.0,12.0,8.0,0.006521774318381746,2.0,14,False,0.3333333333333333,14
24,ret_accel_72_168_z,1,3.0,3.0,3,3.0,3.0,0.04119148872410561,0.04119148872410561,0.0,2.0,0,0,1,late_train,,,,,,10000.0,10000.0,-inf,0.0,15,False,0.3333333333333333,14
24,ret_accel_24_72_z,1,4.0,4.0,4,4.0,5.0,0.0365724267916141,0.0365724267916141,0.0,2.0,1,0,0,late_train,6.0,4.0,0.005790248832747369,0.0,1.0,6.0,4.0,0.005790248832747369,1.0,16,False,0.3333333333333333,14
24,bb_pos_20_norm,1,6.0,6.0,6,4.0,7.0,0.017450986639411914,0.017450986639411914,0.0,2.0,0,1,0,mid_train,,,,,,10000.0,10000.0,-inf,0.0,17,False,0.3333333333333333,14
24,log_ret_168_z,1,7.0,7.0,7,4.0,14.5,0.008314778371318554,0.008314778371318554,0.0,1.0,1,0,0,early_train,14.0,10.0,0.005174792668306782,0.0,1.0,14.0,10.0,0.005174792668306782,1.0,18,False,0.3333333333333333,14
24,price_pos_in_range_24_norm,1,6.0,6.0,6,5.0,5.0,0.030894198539293427,0.030894198539293427,0.0,2.0,0,0,1,late_train,,,,,,10000.0,10000.0,-inf,0.0,19,False,0.3333333333333333,14
24,bb_width_20_sqrt_z,1,8.0,8.0,8,5.0,8.5,0.017402230960983256,0.017402230960983256,0.0,2.0,0,1,0,early_train,,,,,,10000.0,10000.0,-inf,0.0,20,False,0.3333333333333333,14
24,log_ret_6_z,1,8.0,8.0,8,5.0,21.5,0.013562185459179865,0.013562185459179865,0.0,1.0,1,0,0,mid_train,,,,,,10000.0,10000.0,-inf,0.0,21,False,0.3333333333333333,14
24,MOM_pct_14_z,1,9.0,9.0,9,6.0,7.5,0.017112554513644018,0.017112554513644018,0.0,2.0,0,1,0,early_train,,,,,,10000.0,10000.0,-inf,0.0,22,False,0.3333333333333333,14
24,dist_to_low_24_sqrt_z,1,7.0,7.0,7,6.0,11.0,0.029382527648788404,0.029382527648788404,0.0,1.0,1,0,0,late_train,,,,,,10000.0,10000.0,-inf,0.0,23,False,0.3333333333333333,14
24,RSI_14_bounded,1,10.0,10.0,10,7.0,7.5,0.015698250241150846,0.015698250241150846,0.0,2.0,1,0,0,mid_train,3.0,2.0,0.009706760609152432,0.0,2.0,3.0,2.0,0.009706760609152432,2.0,24,False,0.3333333333333333,14
24,dist_ema_200_z,1,11.0,11.0,11,7.0,14.5,0.01576280617208864,0.01576280617208864,0.0,1.0,0,1,0,mid_train,,,,,,10000.0,10000.0,-inf,0.0,25,False,0.3333333333333333,14
24,dist_ema_50_z,1,10.0,10.0,10,8.0,10.0,0.02799893317183677,0.02799893317183677,0.0,2.0,1,0,0,late_train,,,,,,10000.0,10000.0,-inf,0.0,26,False,0.3333333333333333,14
24,ema_slope_50_z,1,11.0,11.0,11,8.0,11.0,0.023883188523048382,0.023883188523048382,0.0,2.0,0,1,0,late_train,,,,,,10000.0,10000.0,-inf,0.0,27,False,0.3333333333333333,14
24,dist_to_high_168_sqrt_z,1,12.0,12.0,12,8.0,8.5,0.015394191452903161,0.015394191452903161,0.0,2.0,1,0,0,mid_train,,,,,,10000.0,10000.0,-inf,0.0,28,False,0.3333333333333333,14
