feature,entry_rank,entry_hie_norm,entry_p_value,entry_hie_observed,entry_hie_null_mean,exit_rank,exit_hie_norm,exit_p_value,exit_hie_observed,exit_hie_null_mean,best_rank,mean_rank,best_hie_norm,best_p_value,regime_coverage_topk,best_regime_source,union_rank,z_window,sample,alpha_out
RSI_72_bounded,26.0,0.019750525232895833,0.0,0.5137692716640085,0.4940187464311127,17.0,0.0004411200172221852,0.01,0.5299308878256246,0.5294897678084024,17.0,21.5,0.019750525232895833,0.0,0,exit,20,24,late_train,0.5
log_ret_24_z,18.0,0.022600926414554745,0.0,0.5171717171717172,0.4945707907571624,24.0,1.8462347993852823e-05,0.43,0.5295055821371611,0.5294871197891673,18.0,21.0,0.022600926414554745,0.0,0,entry,21,24,late_train,0.5
NATR_14_z,45.0,0.011728389672635564,0.0,0.5059011164274323,0.49417272675479673,18.0,0.00041614989600258223,0.0,0.5299308878256246,0.529514737929622,18.0,31.5,0.011728389672635564,0.0,0,exit,22,24,late_train,0.5
RSI_14_bounded,30.0,0.018735017898107442,0.0,0.5128123338649655,0.49407731596685805,19.0,0.0003124856427970668,0.05,0.5298245614035086,0.5295120757607116,19.0,24.5,0.018735017898107442,0.0,0,exit,23,24,late_train,0.5
dist_ema_200_z,20.0,0.021283481135383697,0.0,0.5156831472620946,0.49439966612671093,44.0,-5.397421016684056e-06,0.52,0.529505582137161,0.5295109795581777,20.0,32.0,0.021283481135383697,0.0,0,entry,24,24,late_train,0.5
vol_expansion_72_log1p_z,42.0,0.01215159124248949,0.0,0.5060074428495481,0.49385585160705864,20.0,0.00010779532878701925,0.22,0.529611908559277,0.52950411323049,20.0,31.0,0.01215159124248949,0.0,0,exit,25,24,late_train,0.5
volatility_24_sqrt_z,21.0,0.020859547678260926,0.0,0.5147262094630515,0.49386666178479055,43.0,-4.920502231220425e-06,0.56,0.529505582137161,0.5295105026393923,21.0,32.0,0.020859547678260926,0.0,0,entry,26,24,late_train,0.5
bb_width_20_sqrt_z,33.0,0.015852073498756447,0.0,0.510154173312068,0.4943020998133116,21.0,2.4849504625890084e-05,0.46,0.529505582137161,0.5294807326325351,21.0,27.0,0.015852073498756447,0.0,0,exit,27,24,late_train,0.5
ADX_14_scaled,22.0,0.020346883708643293,0.0,0.5147262094630517,0.4943793257544084,35.0,3.737337269549279e-06,0.48,0.529505582137161,0.5295018447998915,22.0,28.5,0.020346883708643293,0.0,0,entry,28,24,late_train,0.5
body_sqrt_z,53.0,0.005328353894240412,0.01,0.4990962254120148,0.4937678715177744,22.0,1.956335325337122e-05,0.44,0.529505582137161,0.5294860187839077,22.0,37.5,0.005328353894240412,0.01,0,exit,29,24,late_train,0.5
bb_pos_20_norm,23.0,0.020306146255269275,0.0,0.5146198830409356,0.49431373678566637,27.0,1.0883426356245174e-05,0.49,0.529505582137161,0.5294946987108048,23.0,25.0,0.020306146255269275,0.0,0,entry,30,24,late_train,0.5
MOM_pct_14_z,35.0,0.013951641600987996,0.0,0.5081339712918661,0.4941823296908781,23.0,1.8818982501001003e-05,0.42,0.5295055821371611,0.5294867631546601,23.0,29.0,0.013951641600987996,0.0,0,exit,31,24,late_train,0.5
ADX_72_scaled,25.0,0.019958175208015017,0.0,0.5139819245082403,0.4940237493002253,52.0,-2.4346937890551423e-05,0.58,0.529505582137161,0.5295299290750516,25.0,38.5,0.019958175208015017,0.0,0,entry,32,24,late_train,0.5
ema_spread_21_50_z,51.0,0.00940948720206275,0.0,0.5035619351408824,0.4941524479388197,25.0,1.5853476223570695e-05,0.45,0.5295055821371611,0.5294897286609376,25.0,38.0,0.00940948720206275,0.0,0,exit,33,24,late_train,0.5
MACD_hist_pct_z,44.0,0.011773985395420072,0.0,0.5059011164274322,0.4941271310320121,26.0,1.1441469875750343e-05,0.47,0.5295055821371611,0.5294941406672854,26.0,35.0,0.011773985395420072,0.0,0,exit,34,24,late_train,0.5
dist_to_high_168_sqrt_z,27.0,0.019342621499846502,0.0,0.5133439659755448,0.49400134447569827,37.0,2.1868098633026634e-06,0.5,0.529505582137161,0.5295033953272977,27.0,32.0,0.019342621499846502,0.0,0,entry,35,24,late_train,0.5
RSI_30_bounded,28.0,0.01928637020342594,0.0,0.5134502923976607,0.4941639221942348,42.0,-3.84364595773512e-06,0.49,0.529505582137161,0.5295094257831188,28.0,35.0,0.01928637020342594,0.0,0,entry,36,24,late_train,0.5
volatility_168_sqrt_z,39.0,0.012708208047369607,0.0,0.5069643806485911,0.49425617260122146,28.0,1.0458626084952627e-05,0.43,0.5295055821371611,0.5294951235110762,28.0,33.5,0.012708208047369607,0.0,0,exit,37,24,late_train,0.5
dist_to_low_168_sqrt_z,29.0,0.019223095006181357,0.0,0.5136629452418927,0.49443985023571135,50.0,-1.5846328585755742e-05,0.52,0.529505582137161,0.5295214284657468,29.0,39.5,0.019223095006181357,0.0,0,entry,38,24,late_train,0.5
ema_slope_100_z,34.0,0.015557154897277048,0.0,0.5099415204678363,0.4943843655705592,29.0,1.0413217267468688e-05,0.46,0.5295055821371611,0.5294951689198937,29.0,31.5,0.015557154897277048,0.0,0,exit,39,24,late_train,0.5
range_sqrt_z,50.0,0.009736303273628788,0.0,0.504199893673578,0.4944635903999492,30.0,8.664998739860152e-06,0.46,0.529505582137161,0.5294969171384212,30.0,40.0,0.009736303273628788,0.0,0,exit,40,24,late_train,0.5
ema_spread_100_200_z,31.0,0.017411321440518157,0.0,0.5115364167995746,0.49412509535905647,38.0,1.6348123993426e-06,0.5,0.529505582137161,0.5295039473247617,31.0,34.5,0.017411321440518157,0.0,0,entry,41,24,late_train,0.5
ema_slope_9_z,38.0,0.013284728680052038,0.0,0.5072833599149389,0.49399863123488685,31.0,7.51966643941504e-06,0.5,0.5295055821371611,0.5294980624707217,31.0,34.5,0.013284728680052038,0.0,0,exit,42,24,late_train,0.5
dist_ema_9_z,32.0,0.016950846235578354,0.0,0.5108984582668792,0.49394761203130083,45.0,-9.360952970327574e-06,0.48,0.529505582137161,0.5295149430901314,32.0,38.5,0.016950846235578354,0.0,0,entry,43,24,late_train,0.5
